abstruse;obscuro;an abstruse philosophical inquiry
amid;entre;
apologist;a person who offers an argument in defense of something controversial. 
ascertain;verificar;
awe;temor;
buttressed;apoiaram;
bygone;belonging to an early time;relics of a bygone age
claim;reinvindicacao;
conspicuous;claramente visivel;he was very thin, with a conspicuous Adam's apple
covetuousness;cobiça;
drawn up;elaborou, compos;
drone;zangao, zumbido;
endowed;dotado;She is endowed with both brains and beauty.
feat;facanha, proeza;the new printing presses were considerable feats of engineering
frittered away;desperdicou;
gaudiness;ostentacao;
inconspicuously;imperceptivelmente;
ingratiating;insunuante, atraente;
insurmountable;intransponivel;an insurmountable problem
licentious;promiscuous and unprincipled in sexual matters.;
lure;atracao, fascinio;the child was lured into a car but managed to escape
nonentities;nulidades;
ores;minerios;
plush;pomposos;the plush chrome and leather office
preclude;impossibilitar;the secret nature of his work precluded official recognition
quarrelsome;briguento;
roundly;severamente, diretamente;she told him roundly to get to the point
rut;rotina, marca de pneu;a stretch of road made impassable by ruts, holes, or waterlogging
shelved;arquivado;
staggers;cambaleia, vacila;he staggered to his feet, swaying a little 
tramp;mendigo, vagabundo;
travail;painful or laborious effort.;advice for those who wish to save great sorrow and travail
trod on the toes;pisava nos dedos;
upheaval;revolta;major upheavals in the financial markets
wages;salario;
welter;confusao;there's such a welter of conflicting rules
wields;empunha;a masked raider wielding a handgun
wrenching;torcer violentamente;she slipped and wrenched her ankle
wring;expremer, quebrar pescoco;she wrung the cloth out in the sink; the chicken shrieked as one of the women wrung its nec
yeast;fermento, levedura;
